CUE	OPC1	OPC2	SOL
esquimal	iglú	casa	1
oruga	mariposa	hormiga	1
perro	mosca	oveja	2
candado	coche	bicicleta	2
paraguas	lluvia	luna	1
huevos	gallina	cisne	1
policía	escoba	pistola	2
pizarra	lapiz	tiza	2
chupete	niño	bebé	2
traje	pintalabios	corbata	2
murciélago	búho	loro	1
iglú	faraón	esquimal	1
cerillas	bombilla	vela	2
pincel	acuarelas	borrador	1
pilas	flexo	linterna	2
sapo	renacuajo	leon	1
sobre	sello	cámara	1
cinturón	pantalones	reloj	1
paracaídas	barco	avión	2
llave	candado	cuerda	1
violín	tenazas	música	2
grapadora	mesa	altavoz	1
mono	plátano	zanahoria	1
ascensor	piscina	rascacielos	2
plato	tenedor	tornillo	1
bañera	secador	desagüe	2
teclado	ábaco	ordenador	2
bala	arco	pistola	2
televisión	cojín	mando	2
monja	iglesia	escuela	1
leche	vaca	burro	1
pirámide	roble	palmera	2
molino	tulipán	hortensia	1
zanahoria	gato	conejo	2
bellota	cerdo	caballo	1
lechuga	tomate	coliflor	1
portátil	bolígrafo	teclado	2
martillo	clavo	pintura	1
agua	tubería	cable	2
tenedor	estropajo	cuchara	2
manos	zapatos	guantes	2
gafas	ojos	piernas	1
dedal	tuerca	aguja	2
ancla	avioneta	barco	2
almohada	fregadera	cama	2
ratón	gato	oso	1
árbol	manzana	patata	1
queso	ratón	buey	1
carruaje	escarabajo	caballo	2
anillo	dedo	oreja	1
lana	cabra	oveja	2
madera	inflador	sierra	2
charco	chancletas	lluvia	2
destornillador	tornillo	cazuela	1
estetoscopio	cabeza	corazón	2
bebé	cuna	lámpara	1
cortina	lavabo	ventana	2
sombrilla	playa	oficina	1
tijera	papel	piedra	1
teléfono	hombro	oreja	2
silla	mesa	armario	1
arco	flecha	bomba	1
telaraña	libélula	araña	2
dado	cubilete	jarrón	1
botella	horno	vaso	2
novia	biblioteca	iglesia	2
cuento	libro	tronco	1
leñador	hacha	cuchillo	1
granjero	patinete	tractor	2
pluma	pato	cabra	1
grifo	tierra	agua	2
fútbol	balón	raqueta	1
